ID	name	C	H	O	N	P	cas	experimental_enthalpy
93	_2-Propenoic-acid--2-methyl---oxiranylmethyl-ester	7	10	3	0	0	106-91-2	-94.22
94	Hexane--2-3-5-trimethyl-	9	20	0	0	0	1069-53-0	-57.98
95	Butane	4	10	0	0	0	106-97-8	-30.03
96	_1-Butene	4	8	0	0	0	106-98-9	-0.15
97	_1-3-Butadiene	4	6	0	0	0	106-99-0	26
98	_1-Butyne	4	6	0	0	0	107-00-6	39.48
99	Propiolonitrile	3	1	0	1	0	1070-71-9	84.6
100	Pentane--2-2-4-4-tetramethyl-	9	20	0	0	0	1070-87-7	-57.71
101	_1-Propanamine	3	9	0	1	0	107-10-8	-16.7
102	Propanenitrile	3	5	0	1	0	107-12-0	12.3
103	Heptane--2-2-dimethyl-	9	20	0	0	0	1071-26-7	-58.82
104	_2-Propenenitrile	3	3	0	1	0	107-13-1	41.25
105	Exo-4-hydroxy-exo-endo-tetracyclo-6-2-1-1-sup-3-6--sup-0-sup-2-7--sup--	12	18	1	0	0	107133-43-7	-52.1
106	Ethylenediamine	2	8	0	2	0	107-15-3	-4.07
107	Hexane--2-2-5-5-tetramethyl-	10	22	0	0	0	1071-81-4	-68
108	_2-Propen-1-ol	3	6	1	0	0	107-18-6	-29.55
109	_1-2-Ethanediol	2	6	2	0	0	107-21-1	-94.26
110	Ethanedial	2	2	2	0	0	107-22-2	-50.66
111	_1H-Imidazole--2-ethyl-	5	8	0	2	0	1072-62-4	16.3
112	_3-Isoxazolamine--5-methyl-	4	6	1	2	0	1072-67-9	4.7
113	Acetaldoxime	2	5	1	1	0	107-29-9	-5.39
114	Methyl-formate	2	4	2	0	0	107-31-3	-80.52
115	_2-Tert-butyltoluene	11	16	0	0	0	1074-92-6	-8
116	Benzene--1--1-1-dimethylethyl--3-methyl-	11	16	0	0	0	1075-38-3	-13
117	_2-3-4-Trimethylbenzoic-acid	10	12	2	0	0	1076-47-7	-90.18
118	_3-4-5-Trimethylbenzoic-acid	10	12	2	0	0	1076-88-6	-93.16
119	_2-Tert-butylbenzoic-acid	11	14	2	0	0	1077-58-3	-89.89
120	_1H-Indene--2-3-dihydro-1-1-4-7-tetramethyl-	13	18	0	0	0	1078-04-2	-14.9
121	Pentane--2-methyl-	6	14	0	0	0	107-83-5	-41.66
122	_2-Pentanone	5	10	1	0	0	107-87-9	-61.91
123	_1-3-Butanediol	4	10	2	0	0	107-88-0	-103.5
124	Butanoic-acid	4	8	2	0	0	107-92-6	-113.7
125	Beta-alanine	3	7	2	1	0	107-95-9	-101
126	Sarcosine	3	7	2	1	0	107-97-1	-87.77
127	Anthracene--1-2-3-4-5-6-7-8-octahydro-	14	18	0	0	0	1079-71-6	-8.9
128	Acetic-acid-ethenyl-ester	4	6	2	0	0	108-05-4	-74.95
